pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,19973.401239573486,22591.047741058457,17822.21110491529
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2001,2193469.7542954,2451529.354093877,1962880.1150903269
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2001,17030.483147085015,19034.103054177496,15240.144822754735
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2001,8432756.190320184,9321546.499371,7646235.040644489
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2001,22567.28045405363,24945.81242112493,20462.43561244058
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2001,3823864.5789667554,4320644.645597563,3363259.8454459333
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2001,16105.021026794657,18197.316204502917,14165.085978049165
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2001,35653092.50293051,40385374.61404409,31682153.694909047
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2001,20047.71164316949,22708.670918159056,17814.85523192431
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,17257408.06672669,19375382.780581497,15419330.598977435
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,16976.100037798904,19059.550257026836,15167.984540437656
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,857685.8053125425,942521.6828205022,784953.2095421231
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,25898.16958308089,28459.823196585643,23701.979454000237
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,1597401.5175562564,1786966.766991182,1425605.4800352517
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,19194.72246365154,21472.579540701747,17130.38408389622
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2002,2244223.313606216,2505745.5902276463,2002102.8458764085
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2002,17095.777420781662,19087.97071304,15251.380920563051
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2002,8575147.536039373,9469836.74155277,7769555.237859861
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2002,22713.99970600711,25083.86801038212,20580.132836999
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2002,3911958.84550114,4430190.092400888,3440674.410332697
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2002,16182.181962772664,18325.89376223869,14232.67002072121
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2002,36266170.52482657,40953827.84211902,32221765.43697222
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2002,20098.507599278044,22696.380902441357,17857.121061453425
